,MP_id,composition,composition_reduced,"formation_energy_per_atom, MP","Ef(MEGNET), eV/atom",error,Ef_megnet_corrected,Absolute_error,Hd_MP,Hd_MEGNET
62,mp-1224757,In16 Bi12 S40,In4 Bi3 S10,-0.741475463,-0.8437144,0.102238937,-0.7237144,0.017761063,0.008638588,0.020542094
63,mp-1926096,Al2 Fe4 S8,Al1 Fe2 S4,-0.847645239,-0.9542277,0.106582461,-0.8342277,0.013417539,0.142944743,0.157453539
64,mp-756187,Li4 Fe2 S4,Li2 Fe1 S2,-1.088722242,-1.1900434,0.101321158,-1.0700434,0.018678842,0.115941401,0.135384124
65,mp-755664,Li4 Ta6 S12,Li2 Ta3 S6,-1.523826133,-1.6223253,0.098499167,-1.5023253,0.021500833,-0.033418727,-0.008380808
66,mp-1224971,Fe1 Co1 S2,Fe1 Co1 S2,-0.507244291,-0.6040985,0.096854209,-0.4840985,0.023145791,0.231316172,0.261691545
67,mp-767409,Li5 Sb1 S1,Li5 Sb1 S1,-0.983972498,-1.0218076,0.037835102,-0.9018076,0.082164898,0.048728231,0.131165944
68,mp-5481,Na12 Co2 S8,Na6 Co1 S4,-1.073648743,-1.1459111,0.072262357,-1.0259111,0.047737643,0.04818875,0.112338392
69,mp-1220141,Ni16 Bi16 S2,Ni8 Bi8 S1,-0.15711847,-0.17312106,0.01600259,-0.05312106,0.10399741,-0.027281756,0.05351261
70,mp-15782,K1 Pr1 S2,K1 Pr1 S2,-2.111293943,-2.178193,0.066899057,-2.058193,0.053100943,-0.154211627,-0.127361796
71,mp-2210635,Mg1 Mn1 S2,Mg1 Mn1 S2,-1.086558794,-1.2021002,0.115541406,-1.0821002,0.004458594,0.144866051,0.157826987
72,mp-8630,Sb4 Ir4 S4,Sb1 Ir1 S1,-0.593002124,-0.6922434,0.099241276,-0.5722434,0.020758724,-0.092459346,0.050189876
73,mp-20767,Fe4 Sb8 S16,Fe1 Sb2 S4,-0.494868819,-0.61985135,0.124982531,-0.49985135,0.004982531,0.13879752,0.134906247
74,mp-1227486,Bi4 Sb4 S12,Bi1 Sb1 S3,-0.603994315,-0.7069636,0.102969285,-0.5869636,0.017030715,0.002304087,0.010571586
75,mp-20775,Ce4 Dy4 S12,Ce1 Dy1 S3,-2.4036576,-2.4667244,0.0630668,-2.3467244,0.0569332,-0.004787251,0.002569851
76,mp-542596,Hg4 Sb16 S32,Hg1 Sb4 S8,-0.520913272,-0.59478027,0.073866998,-0.47478027,0.046133002,-0.035706188,0.012062912
77,mp-642190,Ni6 Bi4 S4,Ni3 Bi2 S2,-0.457811594,-0.54026264,0.082451046,-0.42026264,0.037548954,-0.035751463,-0.011812646
